Rainfall - (MM), Year, Statistics, Country, ISO3
100.2, 1936, Nov Average, South Africa, ZAF
43.4, 1936, Dec Average, South Africa, ZAF
90.0, 1937, Jan Average, South Africa, ZAF
92.9, 1937, Feb Average, South Africa, ZAF
45.8, 1937, Mar Average, South Africa, ZAF
18.0, 1937, Apr Average, South Africa, ZAF
8.7, 1937, May Average, South Africa, ZAF
9.7, 1937, Jun Average, South Africa, ZAF
13.4, 1937, Jul Average, South Africa, ZAF
4.0, 1937, Aug Average, South Africa, ZAF
14.7, 1937, Sep Average, South Africa, ZAF
25.8, 1937, Oct Average, South Africa, ZAF
30.0, 1937, Nov Average, South Africa, ZAF
89.3, 1937, Dec Average, South Africa, ZAF
69.4, 1938, Jan Average, South Africa, ZAF
61.4, 1938, Feb Average, South Africa, ZAF
28.7, 1938, Mar Average, South Africa, ZAF
54.5, 1938, Apr Average, South Africa, ZAF
11.6, 1938, May Average, South Africa, ZAF
21.0, 1938, Jun Average, South Africa, ZAF
13.8, 1938, Jul Average, South Africa, ZAF
12.3, 1938, Aug Average, South Africa, ZAF
17.8, 1938, Sep Average, South Africa, ZAF
50.7, 1938, Oct Average, South Africa, ZAF
45.0, 1938, Nov Average, South Africa, ZAF
81.7, 1938, Dec Average, South Africa, ZAF
75.8, 1939, Jan Average, South Africa, ZAF
126.4, 1939, Feb Average, South Africa, ZAF
53.1, 1939, Mar Average, South Africa, ZAF
16.4, 1939, Apr Average, South Africa, ZAF
24.3, 1939, May Average, South Africa, ZAF
6.9, 1939, Jun Average, South Africa, ZAF
26.4, 1939, Jul Average, South Africa, ZAF
36.5, 1939, Aug Average, South Africa, ZAF
27.2, 1939, Sep Average, South Africa, ZAF
48.7, 1939, Oct Average, South Africa, ZAF
74.2, 1939, Nov Average, South Africa, ZAF
47.5, 1939, Dec Average, South Africa, ZAF
50.4, 1940, Jan Average, South Africa, ZAF
62.7, 1940, Feb Average, South Africa, ZAF
85.3, 1940, Mar Average, South Africa, ZAF
32.0, 1940, Apr Average, South Africa, ZAF
24.9, 1940, May Average, South Africa, ZAF
22.4, 1940, Jun Average, South Africa, ZAF
9.0, 1940, Jul Average, South Africa, ZAF
5.2, 1940, Aug Average, South Africa, ZAF
47.1, 1940, Sep Average, South Africa, ZAF
18.9, 1940, Oct Average, South Africa, ZAF
65.0, 1940, Nov Average, South Africa, ZAF
69.1, 1940, Dec Average, South Africa, ZAF
79.5, 1941, Jan Average, South Africa, ZAF
72.2, 1941, Feb Average, South Africa, ZAF
34.0, 1941, Mar Average, South Africa, ZAF
55.6, 1941, Apr Average, South Africa, ZAF
12.6, 1941, May Average, South Africa, ZAF
14.2, 1941, Jun Average, South Africa, ZAF
10.6, 1941, Jul Average, South Africa, ZAF
13.6, 1941, Aug Average, South Africa, ZAF
18.8, 1941, Sep Average, South Africa, ZAF
42.5, 1941, Oct Average, South Africa, ZAF
20.4, 1941, Nov Average, South Africa, ZAF
47.5, 1941, Dec Average, South Africa, ZAF
73.6, 1942, Jan Average, South Africa, ZAF
54.0, 1942, Feb Average, South Africa, ZAF
83.0, 1942, Mar Average, South Africa, ZAF
30.3, 1942, Apr Average, South Africa, ZAF
27.3, 1942, May Average, South Africa, ZAF
19.2, 1942, Jun Average, South Africa, ZAF
4.3, 1942, Jul Average, South Africa, ZAF
21.8, 1942, Aug Average, South Africa, ZAF
22.4, 1942, Sep Average, South Africa, ZAF
63.4, 1942, Oct Average, South Africa, ZAF
59.9, 1942, Nov Average, South Africa, ZAF
88.6, 1942, Dec Average, South Africa, ZAF
55.9, 1943, Jan Average, South Africa, ZAF
43.2, 1943, Feb Average, South Africa, ZAF
63.9, 1943, Mar Average, South Africa, ZAF
79.7, 1943, Apr Average, South Africa, ZAF
29.1, 1943, May Average, South Africa, ZAF
10.2, 1943, Jun Average, South Africa, ZAF
18.5, 1943, Jul Average, South Africa, ZAF
40.0, 1943, Aug Average, South Africa, ZAF
22.5, 1943, Sep Average, South Africa, ZAF
48.8, 1943, Oct Average, South Africa, ZAF
101.3, 1943, Nov Average, South Africa, ZAF
73.6, 1943, Dec Average, South Africa, ZAF
62.2, 1944, Jan Average, South Africa, ZAF
92.7, 1944, Feb Average, South Africa, ZAF
54.6, 1944, Mar Average, South Africa, ZAF
11.9, 1944, Apr Average, South Africa, ZAF
23.0, 1944, May Average, South Africa, ZAF
29.5, 1944, Jun Average, South Africa, ZAF
7.8, 1944, Jul Average, South Africa, ZAF
10.1, 1944, Aug Average, South Africa, ZAF
42.3, 1944, Sep Average, South Africa, ZAF
47.5, 1944, Oct Average, South Africa, ZAF
36.8, 1944, Nov Average, South Africa, ZAF
20.9, 1944, Dec Average, South Africa, ZAF
55.2, 1945, Jan Average, South Africa, ZAF
49.1, 1945, Feb Average, South Africa, ZAF
90.9, 1945, Mar Average, South Africa, ZAF
19.1, 1945, Apr Average, South Africa, ZAF
21.2, 1945, May Average, South Africa, ZAF
12.3, 1945, Jun Average, South Africa, ZAF
13.5, 1945, Jul Average, South Africa, ZAF
7.6, 1945, Aug Average, South Africa, ZAF
3.7, 1945, Sep Average, South Africa, ZAF
27.5, 1945, Oct Average, South Africa, ZAF
26.7, 1945, Nov Average, South Africa, ZAF
32.7, 1945, Dec Average, South Africa, ZAF
91.8, 1946, Jan Average, South Africa, ZAF
71.3, 1946, Feb Average, South Africa, ZAF
67.9, 1946, Mar Average, South Africa, ZAF
34.0, 1946, Apr Average, South Africa, ZAF
24.3, 1946, May Average, South Africa, ZAF
6.4, 1946, Jun Average, South Africa, ZAF
6.4, 1946, Jul Average, South Africa, ZAF
5.2, 1946, Aug Average, South Africa, ZAF
14.7, 1946, Sep Average, South Africa, ZAF
40.4, 1946, Oct Average, South Africa, ZAF
43.6, 1946, Nov Average, South Africa, ZAF
43.9, 1946, Dec Average, South Africa, ZAF
49.8, 1947, Jan Average, South Africa, ZAF
52.7, 1947, Feb Average, South Africa, ZAF
68.3, 1947, Mar Average, South Africa, ZAF
35.2, 1947, Apr Average, South Africa, ZAF
16.4, 1947, May Average, South Africa, ZAF
13.6, 1947, Jun Average, South Africa, ZAF
16.9, 1947, Jul Average, South Africa, ZAF
5.5, 1947, Aug Average, South Africa, ZAF
28.2, 1947, Sep Average, South Africa, ZAF
33.4, 1947, Oct Average, South Africa, ZAF
56.9, 1947, Nov Average, South Africa, ZAF
84.6, 1947, Dec Average, South Africa, ZAF
64.2, 1948, Jan Average, South Africa, ZAF
63.0, 1948, Feb Average, South Africa, ZAF
108.2, 1948, Mar Average, South Africa, ZAF
53.2, 1948, Apr Average, South Africa, ZAF
11.5, 1948, May Average, South Africa, ZAF
4.2, 1948, Jun Average, South Africa, ZAF
10.5, 1948, Jul Average, South Africa, ZAF
3.7, 1948, Aug Average, South Africa, ZAF
14.7, 1948, Sep Average, South Africa, ZAF
45.0, 1948, Oct Average, South Africa, ZAF
45.6, 1948, Nov Average, South Africa, ZAF
29.5, 1948, Dec Average, South Africa, ZAF
67.1, 1949, Jan Average, South Africa, ZAF
45.4, 1949, Feb Average, South Africa, ZAF
47.2, 1949, Mar Average, South Africa, ZAF
27.1, 1949, Apr Average, South Africa, ZAF
17.2, 1949, May Average, South Africa, ZAF
